full_id,osm_id,osm_type,water,waterway,emergency,building:levels,aircraft:type,wikimedia_commons,wheelchair,ship:type,reservation,ref,opening_hours,historic,wetland,addr:street,addr:housenumber,addr:country,addr:city,building,artwork_type,source:name,leaf_cycle,layer,leaf_type,reservoir_type,landuse,wastewater,survey:date,fishing,oktmo:user,barrier,alt_name:ru,place,tidal,dock,covered,description,seasonal,local_name,access,name:es,old_name,name:it,int_name,loc_name,contact:website,operator,start_date,name:be,amenity,official_name,salt,intermittent,tourism,name:de,sport,alt_name,boat,wikipedia,wikidata,name:ru,name:en,type,natural,name:uk,name
r6315955,"6315955",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Старий ставок,Старый пруд
r6319262,"6319262",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r6455369,"6455369",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,Нижний Царицынский пруд,Lower Tsaritsinskiy pond,multipolygon,water,Нижній Царицинський ставок,Нижний Царицынский пруд
r6455371,"6455371",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,multipolygon,water,Оранжерейний ставок,Оранжерейный пруд
r6583926,"6583926",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ГУП «Мосводосток»,1938..1941,,,Центральный пруд,,,,,,,,,,,,multipolygon,water,Центральний ставок дендропарку,Центральный пруд дендропарка
r6594364,"6594364",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ГУП «Мосводосток»,1938..1940,,,,,,,,,"Большой пруд на Бирюлёвском ручье;Большой пруд Бирюлёвского дендропарка;2-й пруд на Бирюлёвском ручье;Пруд «Шоколадка»",,,,,,multipolygon,water,Великий ставок,Большой пруд
r6828313,"6828313",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r6897199,"6897199",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Estanque del Patriarca,,,,,,,,,,,,,,Patriarchenteiche,,,,ru:Патриаршие пруды,Q962445,Патриаршие пруды,Patriarch's Ponds,multipolygon,water,Патріарші пруди,Патриаршие пруды
r6982068,"6982068",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://park.sokolniki.com/activities/72/,,,,,Путяевский пруд №1,,,,,,Пруд любви,,ru:Путяевские пруды,Q4384451,,,multipolygon,water,,Верхний (1-й) Путяевский пруд
r7140718,"7140718",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru:Мазиловский пруд,Q19910603,,,multipolygon,water,Мазилівський ставок,Мазиловский пруд
